Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60+","Female Other","Female Total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60+","Male Other","Male Total",Total
2024,Australia,"Venezuela (Bolivarian Republic of)",AUS,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
2024,Austria,"Venezuela (Bolivarian Republic of)",AUT,VEN,40,21,7,81,0,0,149,34,29,16,53,0,0,132,281
2024,Belgium,"Venezuela (Bolivarian Republic of)",BEL,VEN,0,0,0,0,0,701,701,0,0,0,0,0,675,675,1376
2024,"Bolivia (Plurinational State of)","Venezuela (Bolivarian Republic of)",BOL,VEN,0,0,0,0,0,8828,8828,0,0,0,0,0,9647,9647,29039
2024,Brazil,"Venezuela (Bolivarian Republic of)",BRA,VEN,3435,9963,7310,41568,2392,0,64668,3437,10360,7742,52395,2148,0,76082,626858
2024,Canada,"Venezuela (Bolivarian Republic of)",CAN,VEN,72,339,232,1742,377,239,3001,74,314,247,2653,187,378,3853,6859
2024,"Cayman Islands","Venezuela (Bolivarian Republic of)",CYM,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2024,Chile,"Venezuela (Bolivarian Republic of)",CHL,VEN,4847,28635,19103,198627,13255,0,264467,6025,30341,18241,207515,6126,0,268248,532715
2024,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,45068,257395,172784,989365,48455,0,1513067,38673,278485,157748,769625,22006,0,1266537,2808968
2024,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,32,476,447,4299,592,6509,12355,37,530,485,5325,411,6774,13562,29344
2024,"Curacao ","Venezuela (Bolivarian Republic of)",CUW,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11593
2024,Czechia,"Venezuela (Bolivarian Republic of)",CZE,VEN,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28
2024,Denmark,"Venezuela (Bolivarian Republic of)",DNK,VEN,0,0,0,0,0,0,0,5,0,0,0,0,5,10,10
2024,"Dominican Rep.","Venezuela (Bolivarian Republic of)",DOM,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125549
2024,Ecuador,"Venezuela (Bolivarian Republic of)",ECU,VEN,8059,32259,21704,159450,9341,0,230813,8305,34536,22779,143170,5175,0,213965,444778
2024,Finland,"Venezuela (Bolivarian Republic of)",FIN,VEN,5,0,5,22,0,0,32,0,0,0,29,0,0,29,61
2024,France,"Venezuela (Bolivarian Republic of)",FRA,VEN,0,0,0,0,0,1445,1445,0,0,0,0,0,1281,1281,3038
2024,"United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)",GBR,VEN,0,5,13,15,11,0,44,0,5,13,15,11,0,44,117
2024,Germany,"Venezuela (Bolivarian Republic of)",DEU,VEN,219,433,322,2797,323,0,4094,239,444,376,3063,154,5,4281,8380
2024,Greece,"Venezuela (Bolivarian Republic of)",GRC,VEN,0,5,0,13,0,0,18,0,0,0,6,0,5,11,29
2024,Guatemala,"Venezuela (Bolivarian Republic of)",GTM,VEN,1373,1397,9255,29907,106,0,42038,1808,1829,12211,39562,10,0,55420,97458
2024,Guyana,"Venezuela (Bolivarian Republic of)",GUY,VEN,0,0,0,5,0,0,5,0,0,0,6,0,0,6,23411
2024,Honduras,"Venezuela (Bolivarian Republic of)",HND,VEN,0,6,7,15,0,0,28,5,8,0,30,0,0,43,85476
2024,Croatia,"Venezuela (Bolivarian Republic of)",HRV,VEN,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6
